epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1.0,0.756315844703542,0.4339740389415876,1.5282540226720656,0.1512730903644533,0.2107563801623622
2.0,0.4090290705799402,0.6017224163754369,1.110650272293205,0.344982526210684,0.340306554592505
3.0,0.2973096213130075,0.6789815277084373,1.453163554533922,0.309036445332002,0.3413289900220912
4.0,0.2742367845235083,0.7091862206689965,1.0455578000201502,0.4288567149276086,0.411855778634827
5.0,0.260150220295339,0.7190464303544682,1.5360729254547858,0.2995506739890164,0.3650133531913478
6.0,0.2569985099274459,0.7316525212181727,0.9846991658567846,0.4922616075886171,0.4467718366288041
7.0,0.2075357581309777,0.7517473789316026,1.0042044883719456,0.5526709935097354,0.4996857141831703
8.0,0.2030553565999001,0.7603594608087868,1.0160339177993911,0.4573140289565651,0.4056120924214136
9.0,0.1873004574085019,0.7788317523714429,0.8190323739901698,0.580629056415377,0.5294723021626283
10.0,0.1660641613702326,0.7995506739890165,0.6659563744270498,0.5921118322516226,0.5814729212179864
11.0,0.1569211974301102,0.800798801797304,0.9035222348843106,0.5986020968547179,0.5413339167910369
12.0,0.1582380944469602,0.7923115327009486,0.7392359808035273,0.6290564153769346,0.6005991461741033
13.0,0.1465547519196169,0.8016724912631054,1.0828581408923468,0.5811283075386919,0.5763620834437642
14.0,0.152027226288915,0.8109086370444334,0.886168680039871,0.6030953569645532,0.569458331638633
15.0,0.1388667892354075,0.8193959061407888,1.152930110975676,0.6240639041437843,0.5486386088335046
16.0,0.1205774352318991,0.826510234648028,0.8028633964698552,0.6090863704443334,0.6078469578090246
17.0,0.1348766372039267,0.8288816774837744,0.9387343933269257,0.5891163255117324,0.5349699312301726
18.0,0.1363500650977707,0.8175237144283575,0.6632536155726394,0.6415376934598103,0.5967776458341463
19.0,0.1165679477813597,0.8383674488267598,0.7784745677435213,0.6040938592111832,0.6240304287432921
20.0,0.1057667310795543,0.8442336495257114,0.7780168482022944,0.6410384423364952,0.6823758210130474
